Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.76722498405988E-07,-0.0549202550494107,0.105905346730135,0,0,0,19.781816347162,0.66224937834984,-7.99738734935636E-05,5.43414043463798E-09,0.611860803079755,0.0384163909069222,1.09392783954598,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/base_link.STL,,Skeleton-1/Chassis-1;Skeleton-1/REV_21_3005-3;Skeleton-1/REV_21_3005-4;Skeleton-1/1.5 inch Caster Wheel V2-2;Skeleton-1/1.5 inch Caster Wheel V2-1;cavity-2;Mirrorcavity-1;Skeleton-1/battery pack-4;Skeleton-1/battery pack-3;Skeleton-1/battery pack-2;Skeleton-1/battery pack-1,Coordinate System34,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,3.89031008858811E-08,-0.0121105500144927,-0.000394725123224415,0,0,0,0.102512281260832,3.53114521348572E-05,-2.14007262553239E-11,1.90230856179746E-11,4.34967311878936E-05,1.15863853911775E-07,3.50511621574194E-05,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/lidar_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/lidar_link.STL,,Skeleton-1/RPLIDAR C1-1,Coordinate System7,Axis_lidar_joint,lidar_joint,fixed,0,0.262587288177546,0.0412956168184492,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
caster_link_1,6.22101303185473E-05,-0.00313761439977215,-0.00384103338525035,0,0,0,0.00677703405323571,1.46888106461269E-06,9.37565723826939E-09,3.8872800641571E-09,1.40776133849482E-06,-3.70029221716473E-07,1.6521016778306E-06,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/caster_link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/caster_link_1.STL,,Skeleton-1/Combine1-2,Coordinate System5,Axis5,caster_joint_1,continuous,0,0.176589301173827,0.00550045665764806,1.5707963267949,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
caster_wheel_link_1,3.03368317750187E-05,0.000800000000000124,-5.55111512312578E-17,0,0,0,0.0213380821110363,4.05438044646849E-06,-2.692158016047E-22,3.64307062963476E-22,2.67168168861754E-06,9.75405387793057E-23,2.67168168861754E-06,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/caster_wheel_link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/caster_wheel_link_1.STL,,Skeleton-1/Combine2-2,Coordinate System1,Axis1,caster_wheel_joint_1,continuous,-3.03368317750023E-05,-0.026188,-0.013059696374943,0,0,0,caster_link_1,-1,0,0,,,,,,,,,,,,
caster_link_2,6.22101303185935E-05,-0.00313761439977209,-0.00384103338525024,0,0,0,0.00677703405323562,1.46888106461267E-06,9.37565723827122E-09,3.88728006415846E-09,1.40776133849481E-06,-3.70029221716476E-07,1.65210167783057E-06,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/caster_link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/caster_link_2.STL,,Skeleton-1/Combine1-1,Coordinate System6,Axis6,caster_joint_2,continuous,0,-0.230422686758675,0.00550045665764795,1.5707963267949,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,
caster_wheel_link_2,3.0336831774983E-05,0.000800000000000019,-1.38777878078145E-16,0,0,0,0.0213380821110363,4.05438044647021E-06,-2.53079607432932E-22,-3.39379617773477E-22,2.67168168861839E-06,4.04163018769599E-24,2.67168168861839E-06,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/caster_wheel_link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/caster_wheel_link_2.STL,,Skeleton-1/Combine2-1,Coordinate System2,Axis2,caster_wheel_joint_2,continuous,-3.03368317750023E-05,-0.026188,-0.013059696374943,0,0,0,caster_link_2,-1,0,0,,,,,,,,,,,,
drive_link_1,3.35402985113253E-06,-1.14475242523129E-07,7.81166588440628E-08,0,0,0,0.0293105291782999,3.55282252393592E-05,-4.3527278880423E-11,-6.38694569424168E-11,1.95684978413575E-05,5.01815459699816E-09,1.95724433445047E-05,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/drive_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/drive_link_1.STL,,Skeleton-1/drive-wheel-1,Coordinate System3,Axis3,drive_joint_1,continuous,-0.225,-0.000422686758675673,-0.00190000000000002,1.5707963267949,0,3.14159265358979,base_link,1,0,0,,,,,,,,,,,,
drive_link_2,3.35400096948546E-06,1.3469155054225E-07,-3.31813576476714E-08,0,0,0,0.0293105292039599,3.55282252472513E-05,1.84142240012114E-11,7.50590452540427E-11,1.95656898396472E-05,2.49349446902646E-09,1.95752513573869E-05,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/drive_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/drive_link_2.STL,,Skeleton-1/drive-wheel-2,Coordinate System4,Axis4,drive_joint_2,continuous,0.225,-0.000422686758674333,-0.00189999999999995,1.5707963267949,0,3.14159265358979,base_link,-1,0,0,,,,,,,,,,,,
skeleton_link_1,0.185,-2.77555756156289E-17,-0.13994351202019,0,0,0,0.485418124319937,0.00570771338104877,3.72715308131887E-21,-7.56309197151013E-20,0.00569850301081154,2.14114377960721E-19,9.58404886489692E-05,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/skeleton_link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/skeleton_link_1.STL,,Skeleton-1/Actuator^Skeleton-1;Skeleton-1/Link-1;Skeleton-1/Actuator^Skeleton-8;Skeleton-1/Link-7,Coordinate System8,Axis8,skeleton_joint_1,continuous,0.185,0.249577313241325,0.12,1.5707963267949,0,3.14159265358979,base_link,-1,0,0,,,,,,,,,,,,
skeleton_link_2,0.115,1.2490009027033E-16,0.137036541368775,0,0,0,0.515418124319939,0.00628165794961405,-3.47478516646945E-20,8.67361737988404E-19,0.00639856001261118,-2.75986104262583E-22,0.000226452921883321,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/skeleton_link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://openarm_skeleton_v1.2/meshes/skeleton_link_2.STL,,Skeleton-1/Actuator^Skeleton-2;Skeleton-1/Link (Offset)-2;Skeleton-1/Actuator^Skeleton-6;Skeleton-1/Link (Offset)-4,Coordinate System10,Axis10,skeleton_joint_2,continuous,0.0699999999999998,0,-0.47,0,0,0,skeleton_link_1,-1,0,0,,,,,,,,,,,,
